Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Children's home,North West,Lancashire,Private,5,ROC Northwest
Residential Family Centre,"North East, Yorkshire and the Humber",Barnsley,Private,10,Twenty Four-Seven High Support Accommodation For Young People Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",Doncaster,Voluntary,,Cornerstone North East Fostering And Adoption Service
Adoption Support Agency,South West,Bristol,Voluntary,,Catch-Point Consultancy CIC
Children's home,North West,Bolton,Local Authority,4,Bolton Metropolitan Borough Council
Children's home,South West,Bristol,Local Authority,5,Bristol City Council
Adoption Support Agency,London,Islington,Voluntary,,The Children's Society (Services) Limited
Children's home,South East,West Sussex,Local Authority,16,West Sussex County Council
Children's home,West Midlands,Warwickshire,Private,5,Hexagon Care Services Limited
Voluntary Adoption Agency,London,Newham,Voluntary,,Barnardo's
Children's home,South West,Devon,Private,2,Idem Living Ltd
Independent Fostering Agency,East of England,Essex,Private,,Affinity Fostering Services Limited
Residential Special School,South East,West Sussex,Local Authority,20,West Sussex County Council
Residential Special School,London,Greenwich,Academy,11,Charlton Park Academy
Secure children's home,South West,Devon,Local Authority,12,Devon County Council
Children's home,West Midlands,Staffordshire,Private,2,Mulberry House Care Homes Limited
Independent Fostering Agency,East of England,Essex,Private,,Quality Foster Care Limited
Voluntary Adoption Agency,South East,Reading,Voluntary,,Parents and Children Together
Residential Special School,South East,East Sussex,Voluntary,22,St John's School
Further Education College with Residential Accommodation,West Midlands,Herefordshire,Voluntary,77,Royal National College for the Blind
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,4,Pebbles Care Limited
Further Education College with Residential Accommodation,South West,Somerset,Private,54,Priory Education Services Limited
Residential Special School,South East,Kent,Local Authority,16,Kent County Council
Further Education College with Residential Accommodation,South West,"Bournemouth, Christchurch & Poole",Voluntary,121,Bournemouth & Poole College of Further Education
Further Education College with Residential Accommodation,East of England,Central Bedfordshire,Voluntary,72,Bedford College
Further Education College with Residential Accommodation,East Midlands,Northamptonshire,Private,50,Moulton College
Children's home,South East,West Sussex,Private,6,Child First Ltd
Boarding School,South West,Somerset,Academy,150,Bridgwater College Trust
Further Education College with Residential Accommodation,South East,West Sussex,Voluntary,90,Chichester College Services Limited
Independent Fostering Agency,South West,Wiltshire,Private,,Enhanced Foster Care Limited
Children's home,South East,Kent,Private,5,Tulip Care One Limited t/as TulipCare
Children's home,East of England,Norfolk,Private,5,Clover Childcare Services Ltd
Children's home,South East,Hampshire,Private,3,New Forest Care
Children's home,North West,Blackpool,Private,7,Sandcastle Care Ltd
Children's home,West Midlands,Shropshire,Private,2,Reflexion Care Group Limited
Residential special school (registered as a children's home),South East,Surrey,Private,61,Kisimul Group Ltd
Children's home,West Midlands,Staffordshire,Private,3,Oracle Care Limited
Children's home,East Midlands,Nottinghamshire,Local Authority,12,Nottinghamshire County Council
Children's home,London,Barking and Dagenham,Private,6,Holibrook House Limited
Children's home,South East,East Sussex,Private,16,PJL Healthcare Limited
Children's home,South East,Kent,Private,4,Ethelbert Specialist Homes Limited
Children's home,East of England,Suffolk,Private,6,Inroads Essex Limited
Children's home,North West,Bury,Private,3,Meadows Care Limited
Children's home,West Midlands,Staffordshire,Private,3,Oracle Care Limited
Independent Fostering Agency,North West,Bolton,Private,,Fostering Solutions Ltd
Independent Fostering Agency,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Voluntary,,St Cuthbert's Care
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Local Authority,6,Newcastle City Council
Boarding School,South West,Bath and North East Somerset,Academy,44,Beechen Cliff School
Children's home,West Midlands,Shropshire,Private,4,Cambian Childcare Ltd
Children's home,North West,Oldham,Private,5,Dalepeak Limited
Boarding School,East Midlands,Leicester,Voluntary,70,
Residential Special School,East Midlands,Leicester,Local Authority,8,Leicester City Council
Residential Special School,"North East, Yorkshire and the Humber",North Yorkshire,Voluntary,37,Breckenbrough School Limited
Children's home,West Midlands,Stoke-on-Trent,Private,3,The Partnership Of Care Today
Children's home,North West,Stockport,Private,4,Keys Stepping Stones Limited
Children's home,North West,Wigan,Local Authority,5,Wigan Council
Children's home,London,Croydon,Local Authority,7,London Borough of Croydon
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,4,Compass Children's Homes Ltd
Children's home,East Midlands,Derbyshire,Local Authority,5,Derbyshire County Council
Children's home,North West,St Helens,Private,4,Exceptional Care Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,5,Resilience North East Limited
Children's home,North West,St Helens,Private,4,Building Bridges Care Homes Ltd
Children's home,North West,Manchester,Local Authority,5,Manchester City Council
Children's home,North West,Warrington,Private,2,Cambian Childcare Ltd
Children's home,South West,Devon,Private,1,Cambian Childcare Ltd
Children's home,South West,Devon,Private,1,Cambian Childcare Ltd
Children's home,East of England,Cambridgeshire,Private,3,Cambian Childcare Ltd
Children's home,East Midlands,Nottingham,Private,6,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Hartlepool,Private,2,North East Specialist Therapeutic Services Cic
Residential Family Centre,North West,Sefton,Private,4,Amber Family Ltd
Children's home,London,Brent,Private,5,Aspire House Ltd
Residential Family Centre,North West,Blackburn with Darwen,Private,5,Phoenix Family Care Ltd
Children's home,East Midlands,Leicestershire,Private,3,Esland North Limited
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,East Midlands,Nottinghamshire,Private,3,A&m Care Solutions Ltd - T/a Metropolitan Care Solutions
Children's home,"North East, Yorkshire and the Humber",Darlington,Private,3,Pear Tree Projects Limited
Residential Special School,North West,Cheshire West and Chester,Local Authority,46,Cheshire West And Chester Council
Residential Special School,North West,Cheshire West and Chester,Academy,16,Cloughwood Academy Trust
Boarding School,London,Bromley,Private,155,Trustees of Darul Uloom Madrassa
Children's home,North West,Rochdale,Private,6,Hexagon Care Services Limited
Children's home,North West,Lancashire,Private,7,Hexagon Care Services Limited
Children's home,West Midlands,Shropshire,Private,4,Bryn Melyn Care Limited
Children's home,South East,Bracknell Forest,Private,4,SWAAY Child and Adolescent Services Limited
Children's home,West Midlands,Worcestershire,Private,2,Keys Specialist Residential Children's Services Ltd
Children's home,"North East, Yorkshire and the Humber",Leeds,Private,4,Keir Lock Children's Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,3,Cambian Childcare Ltd
Children's home,East of England,Norfolk,Voluntary,4,Break
Independent Fostering Agency,West Midlands,Sandwell,Voluntary,,The Adolescent And Children's Trust
Children's home,"North East, Yorkshire and the Humber",Durham,Private,5,Cambian Childcare Ltd
Boarding School,South East,Kent,Academy,260,Cranbrook School Academy Trust
Children's home,East of England,Norfolk,Voluntary,4,Break
Children's home,South West,Somerset,Private,5,3 Dimensions Care Limited
Children's home,South West,Somerset,Private,3,Blackford Education (schools) Ltd
Children's home,North West,Liverpool,Private,4,Care Assist Children's Services Limited
Children's home,South West,Plymouth,Private,1,Cambian Childcare Ltd
Children's home,South East,West Berkshire,Private,4,Amegreen Children's Services Limited
Residential Special School,South West,Devon,Voluntary,19,WESC Foundation
Independent Fostering Agency,North West,Warrington,Private,,The National Fostering Agency Ltd
Children's home,South West,Plymouth,Private,2,South West Childcare Services
Children's home,South East,Oxfordshire,Private,5,Calcot Services For Children Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Local Authority,3,Calderdale Metropolitan Borough Council
Children's home,London,Greenwich,Private,3,Jamores Limited
Children's home,North West,Rochdale,Local Authority,5,Rochdale Metropolitan Borough Council
Children's home,South East,Portsmouth,Local Authority,3,Portsmouth City Council
Children's home,North West,Blackpool,Private,2,Care 4 Children Holdco Limited
Children's home,North West,Wigan,Private,3,Inspire Childrens Services
Children's home,West Midlands,Stoke-on-Trent,Private,1,Crystal Care Solutions Limited
Children's home,North West,Wigan,Private,2,Future Focused Ltd
Boarding School,South East,Brighton and Hove,Private,80,
Children's home,West Midlands,Dudley,Private,4,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Private,4,Interactive Development Residential Limited
Children's home,East Midlands,Nottinghamshire,Private,2,Homes 2 Inspire Limited
Children's home,North West,Lancashire,Private,2,Nurture Childcare Services Ltd
Independent Fostering Agency,London,Redbridge,Private,,Infinity Foster Care Ltd
Children's home,"North East, Yorkshire and the Humber",Wakefield,Private,8,Compass Children's Homes Ltd
Children's home,London,Redbridge,Private,8,Footsteps Care Limited
Children's home,North West,Wirral,Private,3,Tressell Homes Ltd
Children's home,West Midlands,Staffordshire,Private,3,Unity Residential Care Services Limited
Children's home,East Midlands,Northamptonshire,Private,2,Discovered Limited
Children's home,North West,Lancashire,Private,4,Gracewells Care Limited
Children's home,"North East, Yorkshire and the Humber",Bradford,Private,6,Cambian Childcare Ltd
Independent Fostering Agency,West Midlands,Coventry,Private,,Sunbeam Fostering Agency Limited
Children's home,East of England,Hertfordshire,Private,4,Esland South Limited
Children's home,South East,Buckinghamshire,Private,4,Benjamin Uk Ltd
Children's home,West Midlands,Staffordshire,Private,2,Horizon Care and Education Group Limited
Children's home,North West,Lancashire,Private,8,Witherslack Group Ltd
Children's home,North West,Cumbria,Private,3,Radical Services Ltd
Children's home,East of England,Bedford,Private,4,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Redcar and Cleveland,Private,5,Highfield (North East) Limited
Children's home,London,Kensington and Chelsea,Local Authority,7,Royal Borough of Kensington and Chelsea
Children's home,West Midlands,Walsall,Private,5,Cambian Childcare Ltd
Independent Fostering Agency,West Midlands,Sandwell,Private,,Wholistic Fostering Limited
Independent Fostering Agency,South East,Hampshire,Voluntary,,The Children's Family Trust
Children's home,East of England,Essex,Private,4,Care Focus Limited
Children's home,North West,Lancashire,Private,5,Cambian Childcare Ltd
Children's home,East Midlands,Derby,Private,5,Esland North Limited
Children's home,North West,Wirral,Private,3,Safe Base Care Limited
Children's home,East Midlands,Lincolnshire,Private,3,Keys Care Ltd
Further Education College with Residential Accommodation,East Midlands,Lincolnshire,Voluntary,100,Boston College
Independent Fostering Agency,London,Croydon,Private,,Children of Colour Ltd
Children's home,North West,Sefton,Local Authority,5,Sefton Metropolitan Borough Council
Children's home,South East,West Sussex,Local Authority,4,West Sussex County Council
Children's home,South East,West Sussex,Local Authority,5,West Sussex County Council
Children's home,South West,Wiltshire,Private,4,Wessex College Limited
Children's home,South East,Hampshire,Local Authority,4,Hampshire County Council
Residential Special School,East of England,Norfolk,Local Authority,28,Norfolk County Council Children's Services
Residential Special School,East of England,Norfolk,Academy,31,Eaton Hall Academy Trust Limited
Independent Fostering Agency,South East,Kent,Voluntary,,Action For Children
Children's home,North West,Lancashire,Private,4,Sandcastle Care Ltd
Children's home,East Midlands,Rutland,Private,7,Hopscotch Solutions Limited
Children's home,North West,Oldham,Private,2,Cambian Childcare Ltd
Independent Fostering Agency,East of England,Suffolk,Private,,Little Acorns Fostering Ltd
Children's home,West Midlands,Walsall,Private,1,Silverlining Childcare Limited
Independent Fostering Agency,London,Bromley,Private,,Hatols Fostering Services Ltd (Co Number 08016114)
Children's home,East of England,Suffolk,Local Authority,7,Suffolk County Council
Children's home,South East,Bracknell Forest,Private,4,SWAAY Child and Adolescent Services Limited
Children's home,North West,Lancashire,Private,5,Hopscotch Care Ltd
Children's home,East of England,Southend on Sea,Private,6,Potton Homes Ltd
Residential Family Centre,North West,Lancashire,Private,3,Kaleidoscope Assessment Services Limited
Children's home,"North East, Yorkshire and the Humber",Doncaster,Voluntary,5,Doncaster Children's Services Trust Limited
Children's home,London,Hillingdon,Local Authority,5,London Borough of Hillingdon
Children's home,West Midlands,Staffordshire,Private,1,Searchlight Care Services Ltd
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,4,Horizon Care and Education Group Limited
Children's home,West Midlands,Staffordshire,Private,3,Harmony Childcare Residential Homes Ltd
Children's home,West Midlands,Wolverhampton,Local Authority,4,Wolverhampton City Council
Children's home,"North East, Yorkshire and the Humber",Northumberland,Private,2,Cambian Childcare Ltd
Children's home,West Midlands,Wolverhampton,Private,4,Compass Children's Homes Ltd
Voluntary Adoption Agency,South West,Wiltshire,Local Authority,,Wiltshire
Children's home,West Midlands,Staffordshire,Private,3,Hygge Care Ltd
Children's home,London,Islington,Private,5,Area Camden Ltd
Children's home,South East,West Berkshire,Private,7,Calcot Services For Children Ltd
Children's home,North West,Cheshire East,Private,7,Compass Children's Homes Ltd
Children's home,South East,Brighton and Hove,Private,5,Lioncare Ltd Operating As The Lioncare Group
Children's home,South West,North Somerset,Private,6,Hexagon Care Services Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",Doncaster,Private,,Family Foster Care Limited
Children's home,South East,West Sussex,Private,6,Bramley Care Limited
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Private,5,Spark Of Genius North East Llp
Children's home,London,Hillingdon,Private,10,
Boarding School,London,Barnet,Private,12,Wisdom School
Children's home,South East,Hampshire,Private,3,New Forest Care
Residential Special School,South West,Devon,Local Authority,40,Devon County Council
Residential Special School,South East,Buckinghamshire,Academy,20,Alfriston School
Residential Special School,South East,Kent,Local Authority,26,Kent County Council
Children's home,West Midlands,Staffordshire,Private,3,Hillcrest Children's Services (2) Limited
Children's home,South West,Swindon,Private,5,John-Edwards Care Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Bradford,Private,8,Cambian Childcare Ltd
Children's home,East Midlands,Leicestershire,Private,3,Inspirations Leicestershire Ltd
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,5,Pebbles Care Limited
Residential Family Centre,London,Barnet,Private,3,Ty Connections Limited
Children's home,South West,Gloucestershire,Private,4,Headway Adolescent Resources Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Private,4,Park Blue Homes Limited
Children's home,West Midlands,Shropshire,Private,4,Cambian Childcare Ltd
Children's home,North West,Warrington,Private,6,Bright Futures Care Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,4,Cambian Childcare Ltd
Children's home,North West,Lancashire,Private,1,Cambian Childcare Ltd
Children's home,North West,Warrington,Private,1,Cambian Childcare Ltd
Children's home,East Midlands,Nottinghamshire,Local Authority,16,Nottinghamshire County Council
Secure children's home,East Midlands,Nottinghamshire,Local Authority,20,Nottinghamshire County Council
Children's home,"North East, Yorkshire and the Humber",Darlington,Local Authority,3,Darlington Borough Council
